Clarion Books,409.0
Clarity Press,410.0
Clarkson Potter,411.0
Clarkson Potter Publishers,412.0
Clarkson Potter/Publishers,413.0
Classic Books,414.0
Cleis Press,415.0
Cliffs Notes,416.0
CMX,417.0
Coffee House Press,418.0
Cold Spring Harbor Laboratory Press,419.0
Cold Spring Press,420.0
Collection of Historical Scientific Instruments,421.0
Collector''s Library,422.0
Collectors Library,423.0
Collier Books,424.0
Collins,425.0
Collins Design,426.0
Collins Modern Classics,427.0
Collins Publishers,428.0
Collins Reference,429.0
Columbia Pictures Pubns,430.0
Columbia University Press,431.0
ComicsLit,432.0
ComicsOne Corporation,433.0
Companhia das Letras,434.0
Conari Press,435.0
Condor Books,436.0
Contemporary Books,437.0
Contemporary French Fiction,438.0
Continuum,439.0
Cook''s Illustrated,440.0
Cooper Square Press,441.0
Cooper Square Publishers,442.0
Copernicus Books,443.0
Copper Canyon Press,444.0
Corgi,445.0
Corgi Books,446.0
Corgi Childrens,448.0
Cornell University Press,449.0
Cornerstone Press Chicago,450.0
Coronet,451.0
Cosimo Classics,453.0
Council Oak Books,455.0
Council Press,456.0
Counterpoint,457.0
Counterpoint LLC,458.0
Countryman Press,459.0
Courage Books,460.0
Course Technology,461.0
CQ Press,462.0
CRC Press,463.0
Creation Books,464.0
Crescent,465.0
Crossing Press,467.0
Crossroad,468.0
Crossroad Publishing Company,469.0
Crossway Books,470.0
Crown,471.0
Crown Business,472.0
Crown Forum,473.0
Crown Journeys/Crown Publishers/Crown Publishing Group/Random House,474.0
Crown Publishers,475.0
Crown Publishing Group,476.0
Cruithne Press,478.0
Crystal Clarity Publishers,479.0
Cumberland House Publishing,480.0
Cybereditions Corp,481.0
Da Capo Press,482.0
Dabel Brothers Productions,483.0
Dabel Brothers Publishing,484.0
Dafina Books,485.0
Daimon Verlag,486.0
Dalkey Archive Press,487.0
Dante University of America Press,488.0
Dark Horse,489.0
Dark Horse Books,490.0
Dark Horse Comics,491.0
Dark Horse Manga,492.0
Dartmouth College Press,493.0
Darton Longman & Todd,494.0
David C Cook,495.0
David C. Cook,496.0
David R. Godine,497.0
David R. Godine Publisher,498.0
DAW,499.0
Daw Books,500.0
DAW Books Inc,502.0
DAW Fantasy,503.0
DAW Hardcover,504.0
DAW SF,505.0
DC Comics,506.0
DC Comics Vertigo,507.0
De Boekerij,508.0
DEBOLS!LLO,510.0
Debolsillo,511.0
Dedalus,512.0
Dedalus Limited,513.0
Del Rey,514.0
Del Rey Ballantine Random House,515.0
Del Rey Books,516.0
Del Rey Fantasy,518.0
Del Rey/Ballantine Books,519.0
Delacorte Books,520.0
Delacorte Books for Young Readers,521.0
Delacorte Press,522.0
Delcourt,523.0
Dell,524.0
Dell Laurel-Leaf,525.0
Dell Publishing,526.0
Dell Publishing Company,527.0
Dell Yearling,528.0
Delmar Thomson Learning,529.0
Delta,530.0
Delta Publishing,531.0
Denoël,532.0
Deodand,533.0
Deodand Publishing,534.0
Dervy,535.0
Deseret Book Company,536.0
Destino Ediciones,537.0
Destiny Books,538.0
Destiny Image Incorporated,539.0
Deutscher Taschenbuch Verlag,540.0
Devil''s Due Publishing,541.0
DeVorss & Company,542.0
Dey Street Books,543.0
Dhv der Hörverlag,544.0
Dial,545.0
Dial Books,546.0
Dial Press,547.0
Dial Press Trade Paperback,548.0
Diamond/Charter,549.0
Diana TB,550.0
Digireads.com,551.0
Digital Manga Publishing,552.0
Digital Manga Publishing / Dark Horse,553.0
Diogenes,554.0
Diogenes Verlag,555.0
Disinformation Books,556.0
Disinformation Company,557.0
Disney Editions,558.0
Disney Enterprises,559.0
Disney Hyperion Books,560.0
Disney Press,561.0
Disney-Hyperion,562.0
Distribooks,563.0
DK,564.0
DK Children,565.0
DK Publishing,566.0
Do-Not Press,568.0
